,C,H,N,O,S,P,Intensity
229,20,17,3,10,0,0,2186045.3333333335
239,20,19,3,9,0,0,2713523.6666666665
278,21,19,3,9,0,0,2402509.3333333335
281,21,21,3,9,0,0,2576362.3333333335
315,22,21,3,9,0,0,2444988.3333333335
343,23,21,3,9,0,0,2219409.3333333335
344,23,23,3,9,0,0,2546704.6666666665
367,24,23,3,10,0,0,2522626.0
368,24,23,3,11,0,0,2536037.0
437,20,19,3,10,0,0,2180031.5
438,20,19,3,11,0,0,2008241.5
439,21,19,3,10,0,0,2368727.5
445,23,21,3,10,0,0,2214460.5
452,21,21,3,8,0,0,2344481.6666666665
462,25,23,3,11,0,0,2255118.6666666665
486,21,19,3,8,0,0,2116734.0
488,22,21,3,11,0,0,2471249.5
511,23,23,3,8,0,0,2094051.0
534,22,21,3,8,0,0,2514648.0
536,23,21,3,11,0,0,2494951.0
538,24,23,3,9,0,0,2230294.5
540,25,23,3,9,0,0,2222227.5
554,25,23,3,12,0,0,2192959.0
1103,20,21,3,8,0,0,2469063.3333333335
1238,21,23,3,9,0,0,2436036.0
1730,25,25,3,10,0,0,2318248.3333333335
1731,25,25,3,11,0,0,2416219.0
2782,20,21,3,9,0,0,2667626.0
2792,21,23,3,8,0,0,2146588.5
2798,22,23,3,9,0,0,2741405.0
2799,22,23,3,10,0,0,2582502.0
2800,22,23,3,11,0,0,2354149.5
2806,23,23,3,10,0,0,2815911.5
2812,24,23,3,12,0,0,2445752.5
2814,24,25,3,10,0,0,2513740.5
2932,22,23,3,8,0,0,2243279.3333333335
2936,23,23,3,11,0,0,2422110.3333333335
3008,21,21,3,10,0,0,2551969.0
3009,21,21,3,11,0,0,2187569.0
3018,23,25,3,8,0,0,2063270.5
3020,24,25,3,11,0,0,2349166.0
3120,21,25,3,8,0,0,2098283.5
3138,28,27,3,12,0,0,2233398.0
3286,24,25,3,9,0,0,2337346.0
3307,31,35,3,13,0,0,2534374.5
4110,24,36,4,7,0,0,2362965.3333333335
4113,24,38,4,6,0,0,2639760.3333333335
