,C,H,N,O,S,P,Intensity
458,23,22,2,9,0,0,2023672.0
512,24,22,2,11,0,0,2338949.6666666665
574,24,22,2,10,0,0,2027705.0
1119,20,22,2,10,0,0,3529639.3333333335
1142,20,24,2,9,0,0,2848719.0
1143,20,24,2,10,0,0,2485317.0
1227,21,22,2,9,0,0,3703933.0
1228,21,22,2,10,0,0,3794785.3333333335
1229,21,22,2,11,0,0,3295099.0
1230,21,22,2,12,0,0,2751865.3333333335
1251,21,24,2,8,0,0,2591493.0
1252,21,24,2,9,0,0,2980027.6666666665
1253,21,24,2,10,0,0,3087021.6666666665
1254,21,24,2,11,0,0,2898746.6666666665
1273,21,26,2,9,0,0,2086483.3333333333
1345,22,22,2,9,0,0,2857221.3333333335
1346,22,22,2,10,0,0,3125622.0
1347,22,22,2,11,0,0,3018675.0
1348,22,22,2,12,0,0,2847765.3333333335
1369,22,24,2,9,0,0,2839594.6666666665
1370,22,24,2,10,0,0,2893258.3333333335
1371,22,24,2,11,0,0,2614850.6666666665
1372,22,24,2,12,0,0,2467818.6666666665
1464,23,22,2,10,0,0,2541902.6666666665
1465,23,22,2,11,0,0,2715061.3333333335
1466,23,22,2,12,0,0,2633516.3333333335
1486,23,24,2,10,0,0,2644609.6666666665
1487,23,24,2,11,0,0,2884672.0
1488,23,24,2,12,0,0,2854937.6666666665
1509,23,26,2,9,0,0,2238501.0
1628,24,26,2,11,0,0,2242353.0
1629,24,26,2,12,0,0,2288846.6666666665
1730,25,25,3,10,0,0,2318248.3333333335
1731,25,25,3,11,0,0,2416219.0
2784,20,26,2,8,0,0,1929393.0
2799,22,23,3,10,0,0,2582502.0
2800,22,23,3,11,0,0,2354149.5
2801,22,26,2,8,0,0,2321988.0
2802,22,26,2,10,0,0,2507066.0
2806,23,23,3,10,0,0,2815911.5
2807,23,26,2,10,0,0,2354060.0
2808,23,26,2,12,0,0,2334569.5
2813,24,24,2,12,0,0,2349582.5
2814,24,25,3,10,0,0,2513740.5
2815,24,26,2,13,0,0,2082845.0
2820,25,26,2,12,0,0,2141944.5
2933,22,24,2,8,0,0,2251841.0
2934,22,26,2,9,0,0,2239332.0
2936,23,23,3,11,0,0,2422110.3333333335
2937,23,24,2,9,0,0,2240391.3333333335
2939,24,22,2,12,0,0,2397375.6666666665
2942,25,24,2,12,0,0,2220884.3333333335
2943,25,24,2,13,0,0,2091864.3333333333
3012,21,24,2,12,0,0,2349659.5
3018,23,25,3,8,0,0,2063270.5
3020,24,25,3,11,0,0,2349166.0
3089,22,30,4,7,0,0,2699965.0
3090,25,28,2,13,0,0,2481391.6666666665
3091,25,28,2,14,0,0,4639521.666666667
3122,22,26,2,11,0,0,2278207.0
3125,23,24,2,8,0,0,2199826.5
3131,25,26,2,11,0,0,2173953.5
3138,28,27,3,12,0,0,2233398.0
3215,22,32,4,8,0,0,2696348.0
3217,23,34,4,8,0,0,2725090.0
3218,24,33,5,8,0,0,2109873.0
3222,25,37,5,6,0,0,2158182.3333333335
3223,25,37,5,7,0,0,2440800.3333333335
3284,23,32,4,7,0,0,2768439.5
3286,24,25,3,9,0,0,2337346.0
3288,24,35,5,8,0,0,2437628.0
3289,25,28,2,15,0,0,3087256.0
3307,31,35,3,13,0,0,2534374.5
3821,23,40,2,15,0,0,8348437.333333333
3942,19,32,4,8,0,0,5190040.333333333
3967,20,34,4,8,0,0,3232352.3333333335
3970,21,35,5,8,0,0,5190517.666666667
3972,23,39,5,8,0,0,5163370.333333333
3996,21,36,4,9,0,0,2080771.5
4064,20,35,5,7,0,0,3984255.6666666665
4069,20,37,5,7,0,0,8246942.0
4078,21,37,5,7,0,0,3892257.6666666665
4082,21,39,5,6,0,0,5564289.333333333
4083,21,39,5,7,0,0,4855396.0
4091,22,37,5,8,0,0,4933965.666666667
4093,22,39,5,6,0,0,4866204.666666667
4094,22,39,5,7,0,0,5537658.666666667
4095,22,39,5,8,0,0,6243293.333333333
4099,22,41,5,7,0,0,3874646.0
4101,23,35,5,7,0,0,3119516.3333333335
4102,23,35,5,8,0,0,2416268.0
4105,23,41,5,6,0,0,2447616.6666666665
4106,23,41,5,7,0,0,4422654.0
4107,23,41,5,8,0,0,4850976.0
4109,23,43,5,7,0,0,3582947.0
4111,24,37,5,7,0,0,2522133.6666666665
4112,24,37,5,8,0,0,2308467.3333333335
4117,24,43,5,7,0,0,2372804.6666666665
4118,24,43,5,8,0,0,4915658.666666667
4119,25,39,5,7,0,0,2426524.0
4123,26,39,5,8,0,0,2486515.0
4157,23,39,5,7,0,0,2431278.0
