,C,H,N,O,S,P,Intensity
333,23,19,1,10,0,0,2843443.0
342,23,21,1,9,0,0,2947350.0
359,24,19,1,12,0,0,2456912.6666666665
365,24,21,1,11,0,0,2907787.0
367,24,23,3,10,0,0,2522626.0
383,25,21,1,12,0,0,2488740.0
384,25,21,1,13,0,0,2512300.3333333335
460,24,19,1,11,0,0,2503844.0
461,24,21,1,10,0,0,2367205.0
462,25,23,3,11,0,0,2255118.6666666665
494,25,21,1,11,0,0,2245185.5
496,26,21,1,14,0,0,2177699.0
497,26,21,1,15,0,0,2220570.5
498,26,23,1,11,0,0,2350933.5
512,24,22,2,11,0,0,2338949.6666666665
537,24,21,1,9,0,0,2271400.5
538,24,23,3,9,0,0,2230294.5
540,25,23,3,9,0,0,2222227.5
573,24,19,1,10,0,0,2352120.5
574,24,22,2,10,0,0,2027705.0
576,25,19,1,12,0,0,2150342.0
1326,22,21,1,10,0,0,3823935.0
1327,22,21,1,11,0,0,3836401.0
1328,22,21,1,12,0,0,3657804.3333333335
1351,22,23,1,10,0,0,4042862.3333333335
1352,22,23,1,11,0,0,3908683.6666666665
1353,22,23,1,12,0,0,3537629.0
1375,22,25,1,9,0,0,4006727.0
1376,22,25,1,10,0,0,4135174.0
1377,22,25,1,11,0,0,3709275.6666666665
1447,23,21,1,10,0,0,3110075.0
1448,23,21,1,11,0,0,3311076.0
1449,23,21,1,12,0,0,3379789.0
1450,23,21,1,13,0,0,3222434.0
1464,23,22,2,10,0,0,2541902.6666666665
1467,23,23,1,9,0,0,2995065.3333333335
1468,23,23,1,10,0,0,3343953.6666666665
1469,23,23,1,11,0,0,3590254.0
1470,23,23,1,12,0,0,3331285.3333333335
1471,23,23,1,13,0,0,2998580.0
1486,23,24,2,10,0,0,2644609.6666666665
1490,23,25,1,8,0,0,2911948.6666666665
1491,23,25,1,9,0,0,3360748.0
1492,23,25,1,10,0,0,3018571.0
1493,23,25,1,11,0,0,3199740.3333333335
1494,23,25,1,12,0,0,3492696.0
1495,23,25,1,13,0,0,2801509.0
1511,23,27,1,8,0,0,2716085.3333333335
1512,23,27,1,9,0,0,3236293.6666666665
1513,23,27,1,10,0,0,3259814.0
1514,23,27,1,11,0,0,3209954.6666666665
1515,23,27,1,12,0,0,2664062.6666666665
1530,23,29,1,9,0,0,3163571.6666666665
1531,23,29,1,10,0,0,2572469.6666666665
1532,23,29,1,11,0,0,2399434.3333333335
1575,24,21,1,12,0,0,3019527.6666666665
1576,24,21,1,13,0,0,2921070.0
1577,24,21,1,14,0,0,2659564.3333333335
1591,24,23,1,10,0,0,2967566.6666666665
1592,24,23,1,11,0,0,3281179.0
1593,24,23,1,12,0,0,3053063.6666666665
1594,24,23,1,13,0,0,2922613.6666666665
1609,24,25,1,9,0,0,2402836.6666666665
1610,24,25,1,10,0,0,3016340.3333333335
1611,24,25,1,11,0,0,3173799.6666666665
1612,24,25,1,12,0,0,3201105.0
1613,24,25,1,13,0,0,2904354.6666666665
1614,24,25,1,14,0,0,2498273.0
1628,24,26,2,11,0,0,2242353.0
1630,24,27,1,8,0,0,2199590.0
1631,24,27,1,9,0,0,2592171.6666666665
1632,24,27,1,10,0,0,2958793.0
1633,24,27,1,11,0,0,2819290.6666666665
1634,24,27,1,12,0,0,2926050.3333333335
1635,24,27,1,13,0,0,2519157.3333333335
1649,24,29,1,8,0,0,2407576.6666666665
1650,24,29,1,9,0,0,2833061.0
1651,24,29,1,10,0,0,2602412.6666666665
1652,24,29,1,11,0,0,2777778.3333333335
1653,24,29,1,12,0,0,2625214.3333333335
1666,24,31,1,9,0,0,2475605.3333333335
1695,25,21,1,14,0,0,2430880.3333333335
1707,25,23,1,11,0,0,2473131.0
1708,25,23,1,12,0,0,3015438.3333333335
1709,25,23,1,13,0,0,2979746.6666666665
1710,25,23,1,14,0,0,2538595.0
1711,25,23,1,15,0,0,2412877.6666666665
1725,25,25,1,10,0,0,2852155.3333333335
1726,25,25,1,11,0,0,3173985.3333333335
1727,25,25,1,13,0,0,2792175.3333333335
1728,25,25,1,14,0,0,2496473.3333333335
1729,25,25,1,15,0,0,2260266.3333333335
1730,25,25,3,10,0,0,2318248.3333333335
1731,25,25,3,11,0,0,2416219.0
1745,25,27,1,11,0,0,2846391.0
1746,25,27,1,12,0,0,2753827.6666666665
1747,25,27,1,13,0,0,2521491.0
1748,25,27,1,14,0,0,2494980.3333333335
1762,25,29,1,10,0,0,2469293.3333333335
1763,25,29,1,11,0,0,2774101.0
1764,25,29,1,12,0,0,2242000.0
1765,25,29,1,13,0,0,2443150.6666666665
1779,25,31,1,9,0,0,2275620.0
1780,25,31,1,10,0,0,2735669.6666666665
1793,25,33,1,9,0,0,2160733.3333333335
1826,26,23,1,12,0,0,2385848.6666666665
1827,26,23,1,13,0,0,2648296.6666666665
1828,26,23,1,14,0,0,2574446.6666666665
1842,26,25,1,11,0,0,2572711.3333333335
1843,26,25,1,12,0,0,2574767.3333333335
1844,26,25,1,13,0,0,2934521.0
1845,26,25,1,14,0,0,2384772.0
1859,26,27,1,11,0,0,3015100.3333333335
1860,26,27,1,12,0,0,2647462.0
1861,26,27,1,13,0,0,2743739.6666666665
1874,26,29,1,11,0,0,2539978.0
1875,26,29,1,13,0,0,2418653.0
1889,26,31,1,10,0,0,2434918.0
1890,26,31,1,12,0,0,2335126.0
1952,27,25,1,13,0,0,2363415.6666666665
1965,27,27,1,12,0,0,2511084.0
1966,27,27,1,13,0,0,2819187.6666666665
1967,27,27,1,14,0,0,2717802.3333333335
1980,27,29,1,12,0,0,2913191.3333333335
1981,27,29,1,13,0,0,2791134.6666666665
1994,27,31,1,12,0,0,2428180.6666666665
2073,28,27,1,13,0,0,2508037.0
2086,28,29,1,12,0,0,2495516.3333333335
2087,28,29,1,13,0,0,2665911.3333333335
2088,28,29,1,14,0,0,2628722.6666666665
2101,28,31,1,13,0,0,2577862.3333333335
2102,28,31,1,14,0,0,2257206.3333333335
2176,29,27,1,15,0,0,2300065.0
2187,29,29,1,13,0,0,2228286.3333333335
2188,29,29,1,14,0,0,2504853.0
2199,29,31,1,14,0,0,2577192.0
2813,24,24,2,12,0,0,2349582.5
2814,24,25,3,10,0,0,2513740.5
2816,24,31,1,8,0,0,2187975.0
2820,25,26,2,12,0,0,2141944.5
2821,25,27,1,9,0,0,2598509.0
2822,25,27,1,10,0,0,2975403.5
2823,25,29,1,9,0,0,2452650.5
2826,26,23,1,15,0,0,2589264.0
2827,26,27,1,14,0,0,2300273.0
2829,26,29,1,12,0,0,2390329.5
2830,26,29,1,14,0,0,2227827.0
2831,26,31,1,11,0,0,2388160.5
2832,26,33,1,10,0,0,2396927.0
2833,27,23,1,15,0,0,2272924.5
2834,27,25,1,12,0,0,2572322.5
2835,27,25,1,14,0,0,2344271.5
2836,27,25,1,15,0,0,2475986.5
2837,27,27,1,11,0,0,2600130.0
2838,27,27,1,15,0,0,2343174.0
2839,27,31,1,13,0,0,2417957.5
2840,28,27,1,14,0,0,2608363.5
2841,28,31,1,12,0,0,2106561.5
2845,29,31,1,13,0,0,2263932.0
2846,29,33,1,12,0,0,2384048.5
2847,29,33,1,13,0,0,2305956.0
2851,30,31,1,13,0,0,2131358.5
2853,30,33,1,14,0,0,2564411.5
2854,30,33,1,15,0,0,2507929.0
2935,23,23,1,8,0,0,2595468.0
2937,23,24,2,9,0,0,2240391.3333333335
2939,24,22,2,12,0,0,2397375.6666666665
2940,24,23,1,9,0,0,2533346.0
2941,24,31,1,10,0,0,2319080.3333333335
2942,25,24,2,12,0,0,2220884.3333333335
2943,25,24,2,13,0,0,2091864.3333333333
2944,26,27,1,10,0,0,2394458.6666666665
2945,26,29,1,10,0,0,2182587.6666666665
2946,27,23,1,14,0,0,2351188.3333333335
2948,27,31,1,11,0,0,2288040.6666666665
2951,28,25,1,13,0,0,2199131.3333333335
2952,28,25,1,14,0,0,2246029.0
2953,28,25,1,15,0,0,2451428.6666666665
2954,28,27,1,12,0,0,2323747.3333333335
2957,29,27,1,14,0,0,2185548.0
2958,29,31,1,12,0,0,2351029.6666666665
2963,31,35,1,15,0,0,2380004.0
3021,24,31,1,11,0,0,2218551.0
3023,25,25,1,9,0,0,2320684.0
3024,25,29,1,8,0,0,2226857.5
3025,25,31,1,8,0,0,2264996.5
3027,26,31,1,13,0,0,2120932.0
3028,27,25,1,16,0,0,2164319.5
3029,27,29,1,14,0,0,2335372.5
3031,28,29,1,15,0,0,2105189.0
3032,28,33,1,11,0,0,2345343.0
3033,28,33,1,12,0,0,2287851.5
3035,29,29,1,15,0,0,2529303.0
3039,30,35,1,14,0,0,2195954.0
3092,26,33,1,9,0,0,2203058.6666666665
3093,26,33,1,11,0,0,2235688.6666666665
3095,27,29,1,11,0,0,2259549.0
3096,28,27,1,15,0,0,2279714.3333333335
3097,30,29,1,14,0,0,2299506.6666666665
3129,24,25,1,8,0,0,2215385.5
3130,25,23,1,10,0,0,2566164.5
3131,25,26,2,11,0,0,2173953.5
3132,26,25,1,10,0,0,2186939.5
3133,26,25,1,16,0,0,2159152.0
3135,27,31,1,10,0,0,2401032.0
3136,27,33,1,13,0,0,2342815.0
3138,28,27,3,12,0,0,2233398.0
3142,29,29,1,12,0,0,2316874.0
3216,23,34,4,7,0,0,2957878.0
3218,24,33,5,8,0,0,2109873.0
3219,24,34,4,7,0,0,2299675.0
3221,25,36,4,7,0,0,2209191.6666666665
3222,25,37,5,6,0,0,2158182.3333333335
3223,25,37,5,7,0,0,2440800.3333333335
3224,25,37,5,8,0,0,2551256.0
3225,27,39,5,8,0,0,2215027.6666666665
3284,23,32,4,7,0,0,2768439.5
