,C,H,N,O,S,P,Intensity
277,21,19,1,9,0,0,3894163.6666666665
281,21,21,3,9,0,0,2576362.3333333335
307,22,19,1,9,0,0,3152181.6666666665
308,22,19,1,10,0,0,3578060.6666666665
309,22,19,1,11,0,0,3535949.3333333335
313,22,20,2,10,0,0,2667651.3333333335
314,22,20,2,11,0,0,2900604.0
333,23,19,1,10,0,0,2843443.0
334,23,19,1,11,0,0,2727945.3333333335
335,23,19,1,12,0,0,3043093.0
342,23,21,1,9,0,0,2947350.0
344,23,23,3,9,0,0,2546704.6666666665
359,24,19,1,12,0,0,2456912.6666666665
365,24,21,1,11,0,0,2907787.0
367,24,23,3,10,0,0,2522626.0
368,24,23,3,11,0,0,2536037.0
383,25,21,1,12,0,0,2488740.0
384,25,21,1,13,0,0,2512300.3333333335
458,23,22,2,9,0,0,2023672.0
460,24,19,1,11,0,0,2503844.0
461,24,21,1,10,0,0,2367205.0
491,23,21,1,8,0,0,2300961.0
494,25,21,1,11,0,0,2245185.5
496,26,21,1,14,0,0,2177699.0
498,26,23,1,11,0,0,2350933.5
511,23,23,3,8,0,0,2094051.0
512,24,22,2,11,0,0,2338949.6666666665
537,24,21,1,9,0,0,2271400.5
538,24,23,3,9,0,0,2230294.5
553,23,19,1,9,0,0,2573333.0
573,24,19,1,10,0,0,2352120.5
574,24,22,2,10,0,0,2027705.0
890,18,21,1,10,0,0,4639055.333333333
891,18,21,1,11,0,0,3702520.3333333335
910,18,23,1,10,0,0,3251611.3333333335
923,18,25,1,9,0,0,2159383.6666666665
963,19,19,1,10,0,0,5763383.666666667
987,19,21,1,9,0,0,5812621.0
988,19,21,1,10,0,0,5292920.333333333
989,19,21,1,11,0,0,4842053.666666667
990,19,21,1,12,0,0,3442453.3333333335
1008,19,22,2,10,0,0,3477707.0
1012,19,23,1,8,0,0,4649259.666666667
1013,19,23,1,9,0,0,4601055.333333333
1014,19,23,1,10,0,0,4174577.6666666665
1015,19,23,1,11,0,0,3269601.3333333335
1016,19,23,1,12,0,0,2123811.0
1029,19,24,2,9,0,0,2187579.0
1031,19,25,1,8,0,0,3574894.0
1032,19,25,1,9,0,0,3532290.0
1033,19,25,1,10,0,0,2616571.3333333335
1046,19,27,1,8,0,0,2088158.3333333333
1075,20,19,1,9,0,0,5197914.333333333
1076,20,19,1,10,0,0,5713551.666666667
1077,20,19,1,11,0,0,4877188.666666667
1078,20,19,1,12,0,0,4060587.0
1097,20,21,1,8,0,0,4448520.0
1098,20,21,1,9,0,0,5682908.333333333
1099,20,21,1,10,0,0,6004469.666666667
1100,20,21,1,11,0,0,5063967.0
1101,20,21,1,12,0,0,3863485.0
1102,20,21,1,13,0,0,2810253.3333333335
1118,20,22,2,9,0,0,4034928.0
1119,20,22,2,10,0,0,3529639.3333333335
1120,20,22,2,11,0,0,3275444.0
1123,20,23,1,8,0,0,4633449.333333333
1124,20,23,1,9,0,0,4983441.333333333
1125,20,23,1,10,0,0,5334520.666666667
1126,20,23,1,11,0,0,4006592.6666666665
1127,20,23,1,12,0,0,3228128.0
1128,20,23,1,13,0,0,2298721.6666666665
1141,20,24,2,8,0,0,2512062.0
1142,20,24,2,9,0,0,2848719.0
1143,20,24,2,10,0,0,2485317.0
1144,20,25,1,7,0,0,2978433.3333333335
1145,20,25,1,8,0,0,4307692.333333333
1146,20,25,1,9,0,0,3985959.0
1147,20,25,1,10,0,0,3837852.3333333335
1148,20,25,1,11,0,0,2740161.6666666665
1161,20,27,1,7,0,0,2642747.3333333335
1162,20,27,1,8,0,0,3162856.0
1163,20,27,1,9,0,0,2776309.3333333335
1187,21,19,1,10,0,0,4505693.666666667
1188,21,19,1,11,0,0,4474987.333333333
1189,21,19,1,12,0,0,3389339.6666666665
1204,21,20,2,10,0,0,3368659.3333333335
1205,21,20,2,11,0,0,3492464.3333333335
1208,21,21,1,8,0,0,3692132.6666666665
1209,21,21,1,9,0,0,4079814.6666666665
1210,21,21,1,10,0,0,4636485.666666667
1211,21,21,1,11,0,0,4457389.666666667
1212,21,21,1,12,0,0,4187137.6666666665
1213,21,21,1,13,0,0,2742633.6666666665
1226,21,22,2,8,0,0,3253723.6666666665
1227,21,22,2,9,0,0,3703933.0
1228,21,22,2,10,0,0,3794785.3333333335
1229,21,22,2,11,0,0,3295099.0
1230,21,22,2,12,0,0,2751865.3333333335
1232,21,23,1,8,0,0,3833269.3333333335
1233,21,23,1,9,0,0,4561212.0
1234,21,23,1,10,0,0,4973445.666666667
1235,21,23,1,11,0,0,4419331.666666667
1236,21,23,1,12,0,0,3663472.3333333335
1237,21,23,1,13,0,0,2706599.3333333335
1238,21,23,3,9,0,0,2436036.0
1251,21,24,2,8,0,0,2591493.0
1252,21,24,2,9,0,0,2980027.6666666665
1253,21,24,2,10,0,0,3087021.6666666665
1254,21,24,2,11,0,0,2898746.6666666665
1256,21,25,1,7,0,0,3117673.0
1257,21,25,1,8,0,0,3977612.3333333335
1258,21,25,1,9,0,0,4279031.333333333
1259,21,25,1,10,0,0,4012320.0
1260,21,25,1,11,0,0,3405419.0
1261,21,25,1,12,0,0,2894397.3333333335
1273,21,26,2,9,0,0,2086483.3333333333
1274,21,27,1,7,0,0,3036703.0
1275,21,27,1,8,0,0,3371840.6666666665
1276,21,27,1,9,0,0,3431759.6666666665
1277,21,27,1,10,0,0,2855618.3333333335
1278,21,27,1,11,0,0,2377358.6666666665
1289,21,29,1,7,0,0,2490955.3333333335
1290,21,29,1,8,0,0,2351146.6666666665
1291,21,29,1,9,0,0,2066504.3333333333
1309,22,19,1,12,0,0,3358824.3333333335
1324,22,21,1,8,0,0,3042724.0
1325,22,21,1,9,0,0,3666294.3333333335
1326,22,21,1,10,0,0,3823935.0
1327,22,21,1,11,0,0,3836401.0
1328,22,21,1,12,0,0,3657804.3333333335
1329,22,21,1,13,0,0,2958504.0
1330,22,21,1,14,0,0,2494305.0
1344,22,22,2,8,0,0,2529452.6666666665
1345,22,22,2,9,0,0,2857221.3333333335
1346,22,22,2,10,0,0,3125622.0
1347,22,22,2,11,0,0,3018675.0
1348,22,22,2,12,0,0,2847765.3333333335
1349,22,23,1,8,0,0,3085035.6666666665
1350,22,23,1,9,0,0,3863988.3333333335
1351,22,23,1,10,0,0,4042862.3333333335
1352,22,23,1,11,0,0,3908683.6666666665
1353,22,23,1,12,0,0,3537629.0
1354,22,23,1,13,0,0,2793764.0
1355,22,23,1,14,0,0,2491101.6666666665
1369,22,24,2,9,0,0,2839594.6666666665
1370,22,24,2,10,0,0,2893258.3333333335
1371,22,24,2,11,0,0,2614850.6666666665
1372,22,24,2,12,0,0,2467818.6666666665
1373,22,25,1,7,0,0,2472213.6666666665
1374,22,25,1,8,0,0,3398003.0
1375,22,25,1,9,0,0,4006727.0
1376,22,25,1,10,0,0,4135174.0
1377,22,25,1,11,0,0,3709275.6666666665
1378,22,25,1,12,0,0,3168282.0
1391,22,27,1,7,0,0,2585531.0
1392,22,27,1,8,0,0,3137171.3333333335
1393,22,27,1,9,0,0,3836124.3333333335
1394,22,27,1,10,0,0,3380657.3333333335
1395,22,27,1,11,0,0,2834549.6666666665
1396,22,27,1,12,0,0,2341378.0
