,C,H,N,O,S,P,Intensity
2260,29,42,0,10,0,0,8828400.0
2261,29,42,0,11,0,0,7471403.0
2262,29,42,0,12,0,0,6088481.666666667
2339,30,40,0,10,0,0,8380090.666666667
2349,30,42,0,9,0,0,8571392.333333334
2350,30,42,0,10,0,0,8346157.0
2351,30,42,0,11,0,0,8322898.666666667
2352,30,42,0,12,0,0,7140534.666666667
2353,30,42,0,13,0,0,5776741.0
2359,30,44,0,8,0,0,9102041.333333334
2360,30,44,0,9,0,0,8393378.666666666
2361,30,44,0,10,0,0,6931881.0
2362,30,44,0,11,0,0,5965623.0
2363,30,44,0,12,0,0,4804820.666666667
2364,30,44,0,13,0,0,3761851.6666666665
2429,31,40,0,9,0,0,3995974.6666666665
2430,31,40,0,10,0,0,5334014.333333333
2431,31,40,0,11,0,0,7004279.666666667
2432,31,40,0,12,0,0,7964985.666666667
2437,31,42,0,8,0,0,2943168.6666666665
2438,31,42,0,9,0,0,4107775.0
2439,31,42,0,10,0,0,5638072.0
2440,31,42,0,11,0,0,6713823.666666667
2441,31,42,0,12,0,0,6763173.333333333
2442,31,42,0,13,0,0,6976695.333333333
2443,31,42,0,14,0,0,5451129.666666667
2446,31,44,0,8,0,0,3381943.0
2447,31,44,0,9,0,0,4583443.666666667
2448,31,44,0,10,0,0,5272107.333333333
2449,31,44,0,11,0,0,5946188.666666667
2450,31,44,0,12,0,0,5580470.333333333
2451,31,44,0,13,0,0,4662720.666666667
2452,31,44,0,14,0,0,3518603.6666666665
2453,31,46,0,7,0,0,2883453.3333333335
2454,31,46,0,8,0,0,3869870.0
2455,31,46,0,9,0,0,4389083.333333333
2456,31,46,0,10,0,0,4609538.666666667
2457,31,46,0,11,0,0,4162067.0
2458,31,46,0,12,0,0,4125376.3333333335
2459,31,46,0,13,0,0,3088056.6666666665
2503,32,40,0,9,0,0,2788538.3333333335
2504,32,40,0,10,0,0,4041155.6666666665
2505,32,40,0,11,0,0,5663667.0
2506,32,40,0,12,0,0,6925976.333333333
2512,32,42,0,9,0,0,3165613.3333333335
2513,32,42,0,10,0,0,4652487.333333333
2514,32,42,0,11,0,0,5990352.666666667
2515,32,42,0,12,0,0,6991140.0
2516,32,42,0,13,0,0,6978673.0
2517,32,42,0,14,0,0,6416086.0
2520,32,44,0,9,0,0,3046744.3333333335
2521,32,44,0,10,0,0,4679464.666666667
2522,32,44,0,11,0,0,5420693.666666667
2523,32,44,0,12,0,0,5832610.0
2524,32,44,0,13,0,0,5746603.333333333
2525,32,44,0,14,0,0,4771543.0
2526,32,44,0,15,0,0,3150113.6666666665
2527,32,46,0,9,0,0,2677522.0
2528,32,46,0,10,0,0,3821030.0
2529,32,46,0,11,0,0,4101804.0
2530,32,46,0,12,0,0,4539238.333333333
2531,32,46,0,13,0,0,3777574.6666666665
2532,32,46,0,14,0,0,3008884.3333333335
2568,33,40,0,10,0,0,3372582.0
2569,33,40,0,11,0,0,3995320.3333333335
2570,33,40,0,12,0,0,5941826.333333333
2576,33,42,0,10,0,0,3534746.6666666665
2577,33,42,0,11,0,0,4545542.333333333
2578,33,42,0,12,0,0,5895614.0
2579,33,42,0,13,0,0,6563494.333333333
2580,33,42,0,14,0,0,6711489.666666667
2581,33,42,0,15,0,0,6219851.0
2583,33,44,0,9,0,0,2545097.6666666665
2584,33,44,0,10,0,0,3583930.0
2585,33,44,0,11,0,0,4787528.333333333
2586,33,44,0,12,0,0,5776334.666666667
2587,33,44,0,13,0,0,5892465.0
2588,33,44,0,14,0,0,5425273.0
2589,33,44,0,16,0,0,3009942.0
2590,33,46,0,10,0,0,3576108.3333333335
2591,33,46,0,11,0,0,4175828.0
2592,33,46,0,12,0,0,5079838.0
2593,33,46,0,13,0,0,5036075.666666667
2594,33,46,0,14,0,0,4148603.3333333335
2595,33,46,0,15,0,0,2736627.6666666665
2596,33,48,0,10,0,0,2772465.6666666665
2597,33,48,0,11,0,0,3470247.6666666665
2598,33,48,0,12,0,0,3387992.6666666665
2599,33,48,0,13,0,0,3195948.6666666665
2600,33,48,0,14,0,0,2603808.0
2624,34,40,0,11,0,0,3693331.6666666665
2625,34,40,0,12,0,0,4561376.0
2630,34,42,0,10,0,0,2791441.6666666665
2631,34,42,0,12,0,0,4659764.333333333
2632,34,42,0,13,0,0,5699890.666666667
2633,34,42,0,14,0,0,6051472.333333333
2634,34,42,0,15,0,0,6175368.333333333
2636,34,44,0,10,0,0,2781545.0
2637,34,44,0,11,0,0,3861403.3333333335
2638,34,44,0,12,0,0,4887500.0
2639,34,44,0,13,0,0,5681748.666666667
2640,34,44,0,14,0,0,5851332.333333333
2641,34,44,0,15,0,0,4965887.333333333
2642,34,46,0,10,0,0,2741260.3333333335
2643,34,46,0,11,0,0,3737025.6666666665
2644,34,46,0,12,0,0,4734631.0
2645,34,46,0,13,0,0,4786368.333333333
2646,34,46,0,14,0,0,4652446.333333333
2647,34,48,0,10,0,0,2839545.0
2648,34,48,0,11,0,0,3595217.6666666665
2649,34,48,0,12,0,0,4033564.0
2650,34,48,0,14,0,0,3315657.6666666665
2651,34,50,0,11,0,0,2766113.0
2652,34,50,0,12,0,0,3025622.3333333335
2653,34,50,0,13,0,0,2648783.3333333335
2669,35,40,0,12,0,0,3453655.3333333335
2675,35,42,0,11,0,0,3154640.0
2676,35,42,0,12,0,0,3754698.0
2677,35,42,0,13,0,0,5380287.333333333
2678,35,42,0,14,0,0,5493654.333333333
2681,35,44,0,11,0,0,3114807.0
2682,35,44,0,12,0,0,4337327.0
2683,35,44,0,13,0,0,5042602.0
2684,35,44,0,15,0,0,4615493.666666667
2686,35,46,0,11,0,0,3331296.6666666665
2687,35,46,0,12,0,0,3956018.0
2688,35,46,0,13,0,0,4865337.333333333
2689,35,46,0,14,0,0,4852699.333333333
2690,35,46,0,15,0,0,4461731.666666667
2691,35,48,0,11,0,0,3167522.3333333335
