,C,H,N,O,S,P,Intensity
3089,22,30,4,7,0,0,2699965.0
3212,21,28,4,7,0,0,2534248.0
3213,21,30,4,7,0,0,2875817.6666666665
3214,22,32,4,7,0,0,3294218.0
3215,22,32,4,8,0,0,2696348.0
3216,23,34,4,7,0,0,2957878.0
3217,23,34,4,8,0,0,2725090.0
3218,24,33,5,8,0,0,2109873.0
3219,24,34,4,7,0,0,2299675.0
3221,25,36,4,7,0,0,2209191.6666666665
3223,25,37,5,7,0,0,2440800.3333333335
3224,25,37,5,8,0,0,2551256.0
3225,27,39,5,8,0,0,2215027.6666666665
3281,22,31,5,8,0,0,2056890.0
3282,22,32,4,6,0,0,2448964.0
3284,23,32,4,7,0,0,2768439.5
3285,23,34,4,6,0,0,2755420.0
3288,24,35,5,8,0,0,2437628.0
3291,25,35,5,8,0,0,2125934.0
3969,21,34,4,8,0,0,2464003.3333333335
3994,20,32,4,9,0,0,2390654.5
3995,21,34,4,7,0,0,2061480.0
3996,21,36,4,9,0,0,2080771.5
4073,21,32,4,7,0,0,3446600.0
4081,21,38,4,7,0,0,4574477.333333333
4089,22,34,4,7,0,0,2597908.6666666665
4092,22,38,4,7,0,0,3266653.0
4097,22,40,4,7,0,0,4442946.666666667
4100,22,42,4,5,0,0,2126173.0
4102,23,35,5,8,0,0,2416268.0
4104,23,36,4,6,0,0,3003234.6666666665
4110,24,36,4,7,0,0,2362965.3333333335
4111,24,37,5,7,0,0,2522133.6666666665
4112,24,37,5,8,0,0,2308467.3333333335
4113,24,38,4,6,0,0,2639760.3333333335
4114,24,41,5,7,0,0,2224730.3333333335
4116,24,43,5,6,0,0,2756636.6666666665
4117,24,43,5,7,0,0,2372804.6666666665
4118,24,43,5,8,0,0,4915658.666666667
4123,26,39,5,8,0,0,2486515.0
4125,27,41,5,8,0,0,2217792.0
4152,21,38,4,8,0,0,2859599.5
4153,22,34,4,5,0,0,2766680.0
4155,23,36,4,7,0,0,2274938.5
4158,24,45,5,7,0,0,2432515.5
4159,25,38,4,7,0,0,2467610.0
