,C,H,N,O,S,P,Intensity
554,25,23,3,12,0,0,2192959.0
1488,23,24,2,12,0,0,2854937.6666666665
1590,24,22,2,13,0,0,2278557.3333333335
1628,24,26,2,11,0,0,2242353.0
1629,24,26,2,12,0,0,2288846.6666666665
2805,23,22,2,13,0,0,2268076.5
2808,23,26,2,12,0,0,2334569.5
2813,24,24,2,12,0,0,2349582.5
2815,24,26,2,13,0,0,2082845.0
2820,25,26,2,12,0,0,2141944.5
2939,24,22,2,12,0,0,2397375.6666666665
2942,25,24,2,12,0,0,2220884.3333333335
2943,25,24,2,13,0,0,2091864.3333333333
3090,25,28,2,13,0,0,2481391.6666666665
3091,25,28,2,14,0,0,4639521.666666667
3131,25,26,2,11,0,0,2173953.5
3138,28,27,3,12,0,0,2233398.0
3289,25,28,2,15,0,0,3087256.0
3307,31,35,3,13,0,0,2534374.5
