,C,H,N,O,S,P,Intensity
8,18,14,2,8,0,0,3004433.6666666665
10,19,12,0,8,0,0,3109648.6666666665
11,19,13,1,9,0,0,2729205.3333333335
12,19,14,2,9,0,0,2295887.3333333335
14,20,12,0,8,0,0,2476852.0
15,20,12,0,9,0,0,3297063.3333333335
16,20,12,0,10,0,0,3236201.6666666665
17,21,12,0,9,0,0,2665597.0
18,21,12,0,10,0,0,2704517.3333333335
19,21,12,0,11,0,0,2931814.3333333335
30,22,14,0,8,0,0,2296432.3333333335
31,23,14,0,10,0,0,2359717.0
44,21,12,0,8,0,0,1964407.5
47,22,15,1,9,0,0,1964363.6666666667
56,23,14,0,9,0,0,2153004.5
81,16,12,0,9,0,0,4238949.0
98,17,12,0,8,0,0,3577922.0
99,17,12,0,9,0,0,4965338.666666667
100,17,12,0,10,0,0,6073316.0
101,17,12,0,11,0,0,5951315.666666667
108,17,14,0,7,0,0,3776927.6666666665
109,17,14,0,8,0,0,5964616.0
110,17,14,0,9,0,0,9316295.333333334
116,17,15,1,8,0,0,3695749.6666666665
117,17,15,1,9,0,0,4986357.333333333
119,17,16,2,7,0,0,3233778.6666666665
120,17,16,2,8,0,0,4248572.666666667
121,17,16,2,9,0,0,4976147.0
124,18,12,0,8,0,0,3136589.0
125,18,12,0,9,0,0,4921298.0
126,18,12,0,10,0,0,5560406.666666667
127,18,12,0,11,0,0,5218167.666666667
131,18,13,1,9,0,0,3043810.0
132,18,13,1,10,0,0,3433372.0
134,18,14,0,7,0,0,3319320.3333333335
135,18,14,0,8,0,0,5744317.0
136,18,14,0,9,0,0,8334652.0
137,18,14,0,10,0,0,10550252.333333334
138,18,14,0,11,0,0,10467436.0
139,18,14,2,9,0,0,2941364.0
141,18,15,1,7,0,0,2011703.6666666667
142,18,15,1,8,0,0,3762665.3333333335
143,18,15,1,9,0,0,4836911.666666667
144,18,15,1,10,0,0,4772010.0
145,18,15,1,11,0,0,4058760.3333333335
147,18,16,0,7,0,0,6903887.666666667
148,18,16,2,7,0,0,2737301.6666666665
149,18,16,2,8,0,0,3931244.6666666665
150,18,16,2,9,0,0,4378843.333333333
151,18,16,2,10,0,0,4021428.3333333335
153,18,17,1,7,0,0,2893491.3333333335
155,18,18,2,6,0,0,2129790.3333333335
156,18,18,2,7,0,0,3541844.6666666665
158,19,12,0,9,0,0,4210414.0
159,19,12,0,10,0,0,4603136.666666667
160,19,12,0,11,0,0,4422913.333333333
163,19,13,1,10,0,0,2717272.0
165,19,14,0,7,0,0,2975067.3333333335
166,19,14,0,8,0,0,5215524.333333333
167,19,14,0,9,0,0,7170913.666666667
168,19,14,0,10,0,0,8147205.333333333
169,19,14,0,11,0,0,8006892.0
170,19,14,0,12,0,0,7774913.333333333
171,19,14,0,13,0,0,6528249.666666667
172,19,15,1,7,0,0,2205649.0
173,19,15,1,8,0,0,3116257.0
174,19,15,1,9,0,0,4039953.3333333335
175,19,15,1,10,0,0,4042495.0
176,19,15,1,11,0,0,3481570.6666666665
178,19,16,0,6,0,0,2083515.3333333333
179,19,16,0,7,0,0,5064456.666666667
180,19,16,0,8,0,0,8937103.666666666
181,19,16,0,9,0,0,11869629.0
182,19,16,2,7,0,0,2337200.0
183,19,16,2,8,0,0,3023463.0
184,19,16,2,9,0,0,3499615.0
185,19,16,2,10,0,0,3398229.6666666665
187,19,17,1,7,0,0,2704529.3333333335
188,19,17,1,8,0,0,4228253.666666667
189,19,17,1,9,0,0,5403559.333333333
190,19,17,3,8,0,0,2482272.3333333335
192,19,18,2,7,0,0,3109752.0
193,19,18,2,8,0,0,4274794.666666667
194,19,18,2,9,0,0,4313331.0
195,19,19,3,8,0,0,2468956.0
196,19,19,3,9,0,0,2636090.6666666665
197,20,12,0,11,0,0,3600877.6666666665
200,20,14,0,7,0,0,2707390.6666666665
201,20,14,0,8,0,0,4463565.333333333
202,20,14,0,9,0,0,5619589.666666667
203,20,14,0,10,0,0,5972898.333333333
204,20,14,0,11,0,0,6184064.666666667
205,20,14,0,12,0,0,6087120.0
206,20,14,0,13,0,0,5128709.333333333
207,20,14,0,14,0,0,4629701.333333333
209,20,15,1,8,0,0,2652005.0
210,20,15,1,9,0,0,3199205.3333333335
211,20,15,1,10,0,0,3308432.6666666665
212,20,15,1,11,0,0,3082674.0
214,20,16,0,6,0,0,2053252.6666666667
215,20,16,0,7,0,0,4155000.3333333335
216,20,16,0,8,0,0,6738176.0
217,20,16,0,9,0,0,9096803.0
218,20,16,0,10,0,0,9776050.333333334
219,20,16,0,11,0,0,10238549.333333334
220,20,16,2,8,0,0,2438857.0
221,20,16,2,9,0,0,2671260.3333333335
222,20,16,2,10,0,0,2677310.6666666665
223,20,16,2,11,0,0,2357456.6666666665
224,20,17,1,7,0,0,2468981.0
225,20,17,1,8,0,0,3554221.3333333335
226,20,17,1,9,0,0,3894366.3333333335
227,20,17,1,10,0,0,4624580.333333333
228,20,17,1,11,0,0,4233029.0
229,20,17,3,10,0,0,2186045.3333333335
