,C,H,N,O,S,P,Intensity
152,18,16,2,11,0,0,2894454.3333333335
185,19,16,2,10,0,0,3398229.6666666665
186,19,16,2,11,0,0,2543801.6666666665
194,19,18,2,9,0,0,4313331.0
222,20,16,2,10,0,0,2677310.6666666665
223,20,16,2,11,0,0,2357456.6666666665
234,20,18,2,9,0,0,3619289.3333333335
235,20,18,2,10,0,0,4259964.0
236,20,18,2,11,0,0,3276638.3333333335
239,20,19,3,9,0,0,2713523.6666666665
260,21,16,2,10,0,0,2213358.0
271,21,18,2,9,0,0,2646187.0
272,21,18,2,10,0,0,2873432.3333333335
273,21,18,2,11,0,0,2744860.0
274,21,18,2,12,0,0,2369282.6666666665
278,21,19,3,9,0,0,2402509.3333333335
279,21,20,2,8,0,0,3074890.0
280,21,20,2,9,0,0,3250922.3333333335
281,21,21,3,9,0,0,2576362.3333333335
312,22,20,2,9,0,0,2511344.0
313,22,20,2,10,0,0,2667651.3333333335
314,22,20,2,11,0,0,2900604.0
315,22,21,3,9,0,0,2444988.3333333335
340,23,20,2,11,0,0,2621393.3333333335
341,23,20,2,12,0,0,2488199.3333333335
343,23,21,3,9,0,0,2219409.3333333335
344,23,23,3,9,0,0,2546704.6666666665
367,24,23,3,10,0,0,2522626.0
368,24,23,3,11,0,0,2536037.0
433,19,16,2,12,0,0,2155217.5
437,20,19,3,10,0,0,2180031.5
438,20,19,3,11,0,0,2008241.5
439,21,19,3,10,0,0,2368727.5
442,22,18,2,10,0,0,2084135.5
444,23,20,2,13,0,0,2234837.0
445,23,21,3,10,0,0,2214460.5
454,22,18,2,9,0,0,2259518.3333333335
455,22,18,2,12,0,0,2154415.6666666665
456,22,20,2,8,0,0,2199316.3333333335
458,23,22,2,9,0,0,2023672.0
462,25,23,3,11,0,0,2255118.6666666665
485,21,16,2,11,0,0,2147574.5
488,22,21,3,11,0,0,2471249.5
512,24,22,2,11,0,0,2338949.6666666665
536,23,21,3,11,0,0,2494951.0
538,24,23,3,9,0,0,2230294.5
540,25,23,3,9,0,0,2222227.5
554,25,23,3,12,0,0,2192959.0
569,23,20,2,10,0,0,2329538.0
574,24,22,2,10,0,0,2027705.0
782,17,18,2,11,0,0,2253216.0
861,18,18,2,10,0,0,4381786.333333333
862,18,18,2,11,0,0,3464564.6666666665
884,18,20,2,9,0,0,4729827.666666667
885,18,20,2,10,0,0,3885879.3333333335
886,18,20,2,11,0,0,2729406.6666666665
905,18,22,2,9,0,0,3101299.3333333335
906,18,22,2,10,0,0,2432675.0
958,19,18,2,10,0,0,4104899.6666666665
959,19,18,2,11,0,0,3737168.6666666665
981,19,20,2,9,0,0,4648121.333333333
982,19,20,2,10,0,0,4521421.333333333
983,19,20,2,11,0,0,3243502.3333333335
984,19,20,2,12,0,0,2210336.6666666665
993,19,21,3,9,0,0,2413814.0
1006,19,22,2,8,0,0,3579523.3333333335
1007,19,22,2,9,0,0,3569075.6666666665
1008,19,22,2,10,0,0,3477707.0
1009,19,22,2,11,0,0,2286484.6666666665
1028,19,24,2,8,0,0,2712557.0
1029,19,24,2,9,0,0,2187579.0
1073,20,18,2,12,0,0,2494497.0
1092,20,20,2,9,0,0,4163160.0
