,C,H,N,O,S,P,Intensity
2,17,10,0,10,0,0,2563881.3333333335
5,18,10,0,10,0,0,2526373.3333333335
6,18,10,0,11,0,0,2463140.0
11,19,13,1,9,0,0,2729205.3333333335
12,19,14,2,9,0,0,2295887.3333333335
13,19,14,2,10,0,0,2087127.0
15,20,12,0,9,0,0,3297063.3333333335
16,20,12,0,10,0,0,3236201.6666666665
18,21,12,0,10,0,0,2704517.3333333335
19,21,12,0,11,0,0,2931814.3333333335
25,19,10,0,10,0,0,2355576.0
27,20,13,1,9,0,0,2191000.0
28,20,13,1,10,0,0,2369779.3333333335
29,21,12,0,12,0,0,2601793.3333333335
31,23,14,0,10,0,0,2359717.0
39,19,10,0,11,0,0,1936512.0
55,20,10,0,10,0,0,2017009.5
68,15,10,0,11,0,0,1937060.3333333333
77,16,10,0,10,0,0,2539103.6666666665
78,16,10,0,11,0,0,2269999.3333333335
81,16,12,0,9,0,0,4238949.0
82,16,12,0,10,0,0,5714523.0
83,16,12,0,11,0,0,5783852.0
86,16,13,1,10,0,0,2918715.3333333335
87,16,13,1,11,0,0,2265495.0
91,16,14,2,9,0,0,2937500.6666666665
92,16,14,2,10,0,0,2587651.6666666665
96,17,10,0,11,0,0,2302428.0
99,17,12,0,9,0,0,4965338.666666667
100,17,12,0,10,0,0,6073316.0
101,17,12,0,11,0,0,5951315.666666667
102,17,12,0,12,0,0,4992291.666666667
103,17,12,0,13,0,0,3355609.3333333335
105,17,13,1,9,0,0,3411945.3333333335
106,17,13,1,10,0,0,3207761.0
107,17,13,1,11,0,0,2632228.6666666665
110,17,14,0,9,0,0,9316295.333333334
113,17,14,2,9,0,0,3062428.0
114,17,14,2,10,0,0,2939844.3333333335
117,17,15,1,9,0,0,4986357.333333333
120,17,16,2,8,0,0,4248572.666666667
121,17,16,2,9,0,0,4976147.0
125,18,12,0,9,0,0,4921298.0
126,18,12,0,10,0,0,5560406.666666667
127,18,12,0,11,0,0,5218167.666666667
128,18,12,0,12,0,0,4328963.333333333
129,18,12,0,13,0,0,3270089.6666666665
131,18,13,1,9,0,0,3043810.0
132,18,13,1,10,0,0,3433372.0
133,18,13,1,11,0,0,2462418.0
135,18,14,0,8,0,0,5744317.0
136,18,14,0,9,0,0,8334652.0
137,18,14,0,10,0,0,10550252.333333334
138,18,14,0,11,0,0,10467436.0
139,18,14,2,9,0,0,2941364.0
140,18,14,2,10,0,0,2514499.0
143,18,15,1,9,0,0,4836911.666666667
144,18,15,1,10,0,0,4772010.0
145,18,15,1,11,0,0,4058760.3333333335
150,18,16,2,9,0,0,4378843.333333333
151,18,16,2,10,0,0,4021428.3333333335
152,18,16,2,11,0,0,2894454.3333333335
158,19,12,0,9,0,0,4210414.0
159,19,12,0,10,0,0,4603136.666666667
160,19,12,0,11,0,0,4422913.333333333
161,19,12,0,12,0,0,3525544.3333333335
162,19,12,0,13,0,0,2264418.3333333335
163,19,13,1,10,0,0,2717272.0
164,19,13,1,11,0,0,2162028.6666666665
166,19,14,0,8,0,0,5215524.333333333
167,19,14,0,9,0,0,7170913.666666667
168,19,14,0,10,0,0,8147205.333333333
169,19,14,0,11,0,0,8006892.0
170,19,14,0,12,0,0,7774913.333333333
171,19,14,0,13,0,0,6528249.666666667
174,19,15,1,9,0,0,4039953.3333333335
175,19,15,1,10,0,0,4042495.0
176,19,15,1,11,0,0,3481570.6666666665
177,19,15,1,12,0,0,2916056.6666666665
180,19,16,0,8,0,0,8937103.666666666
181,19,16,0,9,0,0,11869629.0
183,19,16,2,8,0,0,3023463.0
184,19,16,2,9,0,0,3499615.0
185,19,16,2,10,0,0,3398229.6666666665
186,19,16,2,11,0,0,2543801.6666666665
189,19,17,1,9,0,0,5403559.333333333
191,19,17,3,9,0,0,2235418.0
193,19,18,2,8,0,0,4274794.666666667
194,19,18,2,9,0,0,4313331.0
195,19,19,3,8,0,0,2468956.0
196,19,19,3,9,0,0,2636090.6666666665
197,20,12,0,11,0,0,3600877.6666666665
198,20,12,0,12,0,0,3026834.6666666665
199,20,12,0,13,0,0,2238755.3333333335
202,20,14,0,9,0,0,5619589.666666667
203,20,14,0,10,0,0,5972898.333333333
204,20,14,0,11,0,0,6184064.666666667
205,20,14,0,12,0,0,6087120.0
206,20,14,0,13,0,0,5128709.333333333
207,20,14,0,14,0,0,4629701.333333333
