,C,H,N,O,S,P,Intensity
10,19,12,0,8,0,0,3109648.6666666665
11,19,13,1,9,0,0,2729205.3333333335
15,20,12,0,9,0,0,3297063.3333333335
16,20,12,0,10,0,0,3236201.6666666665
69,15,12,0,8,0,0,2789516.3333333335
70,15,12,0,9,0,0,3944519.6666666665
80,16,12,0,8,0,0,3345165.0
81,16,12,0,9,0,0,4238949.0
82,16,12,0,10,0,0,5714523.0
83,16,12,0,11,0,0,5783852.0
85,16,13,1,9,0,0,2893586.3333333335
86,16,13,1,10,0,0,2918715.3333333335
88,16,14,0,7,0,0,3478278.3333333335
90,16,14,2,8,0,0,3000952.0
91,16,14,2,9,0,0,2937500.6666666665
93,16,15,1,7,0,0,1882586.0
95,16,16,2,7,0,0,2675320.6666666665
98,17,12,0,8,0,0,3577922.0
99,17,12,0,9,0,0,4965338.666666667
100,17,12,0,10,0,0,6073316.0
101,17,12,0,11,0,0,5951315.666666667
105,17,13,1,9,0,0,3411945.3333333335
106,17,13,1,10,0,0,3207761.0
108,17,14,0,7,0,0,3776927.6666666665
109,17,14,0,8,0,0,5964616.0
110,17,14,0,9,0,0,9316295.333333334
113,17,14,2,9,0,0,3062428.0
115,17,15,1,7,0,0,2180553.6666666665
116,17,15,1,8,0,0,3695749.6666666665
117,17,15,1,9,0,0,4986357.333333333
119,17,16,2,7,0,0,3233778.6666666665
120,17,16,2,8,0,0,4248572.666666667
121,17,16,2,9,0,0,4976147.0
122,17,17,3,8,0,0,2482107.3333333335
124,18,12,0,8,0,0,3136589.0
125,18,12,0,9,0,0,4921298.0
126,18,12,0,10,0,0,5560406.666666667
127,18,12,0,11,0,0,5218167.666666667
134,18,14,0,7,0,0,3319320.3333333335
135,18,14,0,8,0,0,5744317.0
136,18,14,0,9,0,0,8334652.0
137,18,14,0,10,0,0,10550252.333333334
138,18,14,0,11,0,0,10467436.0
141,18,15,1,7,0,0,2011703.6666666667
142,18,15,1,8,0,0,3762665.3333333335
143,18,15,1,9,0,0,4836911.666666667
144,18,15,1,10,0,0,4772010.0
145,18,15,1,11,0,0,4058760.3333333335
146,18,16,0,6,0,0,3119011.0
147,18,16,0,7,0,0,6903887.666666667
148,18,16,2,7,0,0,2737301.6666666665
149,18,16,2,8,0,0,3931244.6666666665
150,18,16,2,9,0,0,4378843.333333333
151,18,16,2,10,0,0,4021428.3333333335
152,18,16,2,11,0,0,2894454.3333333335
153,18,17,1,7,0,0,2893491.3333333335
154,18,17,3,8,0,0,2383445.6666666665
155,18,18,2,6,0,0,2129790.3333333335
156,18,18,2,7,0,0,3541844.6666666665
157,18,19,3,7,0,0,2246981.6666666665
158,19,12,0,9,0,0,4210414.0
