,C,H,N,O,S,P,Intensity
3,17,12,2,9,0,0,1842267.6666666667
7,18,14,2,7,0,0,1923711.6666666667
8,18,14,2,8,0,0,3004433.6666666665
9,18,15,3,8,0,0,2106303.6666666665
11,19,13,1,9,0,0,2729205.3333333335
12,19,14,2,9,0,0,2295887.3333333335
13,19,14,2,10,0,0,2087127.0
21,16,12,2,9,0,0,1990349.0
22,17,11,1,10,0,0,2163531.0
23,18,15,3,9,0,0,1880206.0
26,19,13,1,8,0,0,2458723.0
27,20,13,1,9,0,0,2191000.0
28,20,13,1,10,0,0,2369779.3333333335
32,16,11,1,9,0,0,1804830.5
34,17,11,1,9,0,0,1976200.5
35,19,14,2,8,0,0,2154982.0
38,18,13,1,7,0,0,1799837.5
41,19,13,1,7,0,0,1842820.0
42,20,13,1,8,0,0,2043513.5
43,20,14,2,9,0,0,1884613.0
47,22,15,1,9,0,0,1964363.6666666667
52,19,11,1,9,0,0,1843042.0
71,15,13,1,8,0,0,2246087.3333333335
72,15,13,1,9,0,0,2067301.3333333333
74,15,14,2,8,0,0,2041530.3333333333
75,15,14,2,9,0,0,2374503.3333333335
84,16,13,1,8,0,0,2252926.6666666665
85,16,13,1,9,0,0,2893586.3333333335
86,16,13,1,10,0,0,2918715.3333333335
87,16,13,1,11,0,0,2265495.0
89,16,14,2,7,0,0,1815458.0
90,16,14,2,8,0,0,3000952.0
91,16,14,2,9,0,0,2937500.6666666665
92,16,14,2,10,0,0,2587651.6666666665
93,16,15,1,7,0,0,1882586.0
95,16,16,2,7,0,0,2675320.6666666665
104,17,13,1,8,0,0,2553847.0
105,17,13,1,9,0,0,3411945.3333333335
106,17,13,1,10,0,0,3207761.0
107,17,13,1,11,0,0,2632228.6666666665
111,17,14,2,7,0,0,1635266.3333333333
112,17,14,2,8,0,0,3074369.6666666665
113,17,14,2,9,0,0,3062428.0
114,17,14,2,10,0,0,2939844.3333333335
115,17,15,1,7,0,0,2180553.6666666665
116,17,15,1,8,0,0,3695749.6666666665
117,17,15,1,9,0,0,4986357.333333333
118,17,15,3,8,0,0,2288864.0
119,17,16,2,7,0,0,3233778.6666666665
120,17,16,2,8,0,0,4248572.666666667
121,17,16,2,9,0,0,4976147.0
122,17,17,3,8,0,0,2482107.3333333335
130,18,13,1,8,0,0,2666622.3333333335
131,18,13,1,9,0,0,3043810.0
132,18,13,1,10,0,0,3433372.0
133,18,13,1,11,0,0,2462418.0
139,18,14,2,9,0,0,2941364.0
140,18,14,2,10,0,0,2514499.0
141,18,15,1,7,0,0,2011703.6666666667
142,18,15,1,8,0,0,3762665.3333333335
143,18,15,1,9,0,0,4836911.666666667
144,18,15,1,10,0,0,4772010.0
145,18,15,1,11,0,0,4058760.3333333335
148,18,16,2,7,0,0,2737301.6666666665
149,18,16,2,8,0,0,3931244.6666666665
150,18,16,2,9,0,0,4378843.333333333
151,18,16,2,10,0,0,4021428.3333333335
152,18,16,2,11,0,0,2894454.3333333335
153,18,17,1,7,0,0,2893491.3333333335
154,18,17,3,8,0,0,2383445.6666666665
156,18,18,2,7,0,0,3541844.6666666665
157,18,19,3,7,0,0,2246981.6666666665
163,19,13,1,10,0,0,2717272.0
164,19,13,1,11,0,0,2162028.6666666665
172,19,15,1,7,0,0,2205649.0
173,19,15,1,8,0,0,3116257.0
174,19,15,1,9,0,0,4039953.3333333335
175,19,15,1,10,0,0,4042495.0
176,19,15,1,11,0,0,3481570.6666666665
177,19,15,1,12,0,0,2916056.6666666665
182,19,16,2,7,0,0,2337200.0
183,19,16,2,8,0,0,3023463.0
184,19,16,2,9,0,0,3499615.0
185,19,16,2,10,0,0,3398229.6666666665
186,19,16,2,11,0,0,2543801.6666666665
187,19,17,1,7,0,0,2704529.3333333335
188,19,17,1,8,0,0,4228253.666666667
189,19,17,1,9,0,0,5403559.333333333
190,19,17,3,8,0,0,2482272.3333333335
191,19,17,3,9,0,0,2235418.0
192,19,18,2,7,0,0,3109752.0
193,19,18,2,8,0,0,4274794.666666667
194,19,18,2,9,0,0,4313331.0
195,19,19,3,8,0,0,2468956.0
196,19,19,3,9,0,0,2636090.6666666665
209,20,15,1,8,0,0,2652005.0
210,20,15,1,9,0,0,3199205.3333333335
211,20,15,1,10,0,0,3308432.6666666665
212,20,15,1,11,0,0,3082674.0
213,20,15,1,12,0,0,2253246.0
220,20,16,2,8,0,0,2438857.0
221,20,16,2,9,0,0,2671260.3333333335
222,20,16,2,10,0,0,2677310.6666666665
223,20,16,2,11,0,0,2357456.6666666665
224,20,17,1,7,0,0,2468981.0
225,20,17,1,8,0,0,3554221.3333333335
226,20,17,1,9,0,0,3894366.3333333335
227,20,17,1,10,0,0,4624580.333333333
228,20,17,1,11,0,0,4233029.0
229,20,17,3,10,0,0,2186045.3333333335
232,20,18,2,7,0,0,2543341.0
233,20,18,2,8,0,0,3289003.3333333335
234,20,18,2,9,0,0,3619289.3333333335
235,20,18,2,10,0,0,4259964.0
236,20,18,2,11,0,0,3276638.3333333335
237,20,19,1,7,0,0,2526108.6666666665
238,20,19,3,8,0,0,2317289.6666666665
239,20,19,3,9,0,0,2713523.6666666665
240,20,20,2,7,0,0,3132531.3333333335
249,21,15,1,9,0,0,2400748.0
250,21,15,1,10,0,0,2641887.3333333335
251,21,15,1,11,0,0,2592459.0
252,21,15,1,12,0,0,2721352.6666666665
260,21,16,2,10,0,0,2213358.0
261,21,17,1,8,0,0,2836469.3333333335
262,21,17,1,9,0,0,3534070.6666666665
263,21,17,1,10,0,0,3778933.3333333335
264,21,17,1,11,0,0,3530215.6666666665
265,21,17,1,12,0,0,3198444.3333333335
266,21,17,1,13,0,0,2560241.3333333335
271,21,18,2,9,0,0,2646187.0
272,21,18,2,10,0,0,2873432.3333333335
273,21,18,2,11,0,0,2744860.0
274,21,18,2,12,0,0,2369282.6666666665
275,21,19,1,7,0,0,2465651.0
276,21,19,1,8,0,0,3026156.3333333335
277,21,19,1,9,0,0,3894163.6666666665
278,21,19,3,9,0,0,2402509.3333333335
279,21,20,2,8,0,0,3074890.0
280,21,20,2,9,0,0,3250922.3333333335
281,21,21,3,9,0,0,2576362.3333333335
297,22,17,1,10,0,0,2927551.0
298,22,17,1,11,0,0,2589025.6666666665
299,22,17,1,12,0,0,2685577.0
300,22,17,1,13,0,0,2388892.3333333335
306,22,19,1,8,0,0,2313797.0
307,22,19,1,9,0,0,3152181.6666666665
308,22,19,1,10,0,0,3578060.6666666665
309,22,19,1,11,0,0,3535949.3333333335
312,22,20,2,9,0,0,2511344.0
313,22,20,2,10,0,0,2667651.3333333335
314,22,20,2,11,0,0,2900604.0
315,22,21,3,9,0,0,2444988.3333333335
333,23,19,1,10,0,0,2843443.0
334,23,19,1,11,0,0,2727945.3333333335
335,23,19,1,12,0,0,3043093.0
336,23,19,1,13,0,0,2656941.6666666665
340,23,20,2,11,0,0,2621393.3333333335
341,23,20,2,12,0,0,2488199.3333333335
342,23,21,1,9,0,0,2947350.0
344,23,23,3,9,0,0,2546704.6666666665
359,24,19,1,12,0,0,2456912.6666666665
360,24,19,1,13,0,0,2321675.0
365,24,21,1,11,0,0,2907787.0
367,24,23,3,10,0,0,2522626.0
368,24,23,3,11,0,0,2536037.0
383,25,21,1,12,0,0,2488740.0
384,25,21,1,13,0,0,2512300.3333333335
427,16,11,1,10,0,0,1816969.0
431,18,17,3,7,0,0,2285521.5
432,18,17,3,9,0,0,2444090.5
433,19,16,2,12,0,0,2155217.5
434,19,19,3,7,0,0,2235118.0
435,20,15,1,13,0,0,2552704.0
436,20,17,3,9,0,0,2080931.5
437,20,19,3,10,0,0,2180031.5
438,20,19,3,11,0,0,2008241.5
439,21,19,3,10,0,0,2368727.5
440,22,17,1,9,0,0,2617120.0
441,22,17,1,14,0,0,2162156.5
442,22,18,2,10,0,0,2084135.5
443,23,17,1,11,0,0,2590752.5
444,23,20,2,13,0,0,2234837.0
445,23,21,3,10,0,0,2214460.5
449,19,17,3,7,0,0,2061830.6666666667
450,21,15,1,8,0,0,2064763.6666666667
451,21,18,2,8,0,0,2473462.6666666665
452,21,21,3,8,0,0,2344481.6666666665
453,22,15,1,10,0,0,2328425.0
454,22,18,2,9,0,0,2259518.3333333335
455,22,18,2,12,0,0,2154415.6666666665
456,22,20,2,8,0,0,2199316.3333333335
458,23,22,2,9,0,0,2023672.0
460,24,19,1,11,0,0,2503844.0
461,24,21,1,10,0,0,2367205.0
477,17,13,1,7,0,0,1612915.5
479,17,17,3,9,0,0,2004502.0
480,18,14,2,11,0,0,2085450.0
481,18,19,3,6,0,0,1732404.0
482,20,15,1,7,0,0,1914620.0
483,20,19,3,7,0,0,2090854.0
484,20,21,3,7,0,0,2307542.5
485,21,16,2,11,0,0,2147574.5
486,21,19,3,8,0,0,2116734.0
488,22,21,3,11,0,0,2471249.5
489,23,17,1,10,0,0,2231973.0
490,23,17,1,13,0,0,2163172.5
491,23,21,1,8,0,0,2300961.0
492,24,19,1,14,0,0,2231989.5
493,25,19,1,13,0,0,2060990.0
494,25,21,1,11,0,0,2245185.5
496,26,21,1,14,0,0,2177699.0
497,26,21,1,15,0,0,2220570.5
498,26,23,1,11,0,0,2350933.5
505,16,13,1,7,0,0,1627988.3333333333
506,17,17,3,7,0,0,1938433.6666666667
507,20,16,2,7,0,0,1971343.6666666667
508,20,17,3,8,0,0,1956428.6666666667
509,21,20,2,7,0,0,2048550.0
510,23,17,1,12,0,0,2301573.3333333335
512,24,22,2,11,0,0,2338949.6666666665
527,19,17,3,10,0,0,2299935.0
530,21,17,1,7,0,0,1948179.0
532,22,15,1,12,0,0,2182743.5
533,22,21,1,7,0,0,1967314.0
534,22,21,3,8,0,0,2514648.0
536,23,21,3,11,0,0,2494951.0
537,24,21,1,9,0,0,2271400.5
549,22,22,2,7,0,0,2061306.0
551,23,17,1,9,0,0,2133448.6666666665
553,23,19,1,9,0,0,2573333.0
564,18,15,3,10,0,0,1953053.0
566,22,15,1,11,0,0,2118277.0
567,22,17,1,8,0,0,1968927.5
568,22,19,1,7,0,0,2018316.0
569,23,20,2,10,0,0,2329538.0
571,24,17,1,11,0,0,2077632.5
572,24,17,1,12,0,0,2233660.5
573,24,19,1,10,0,0,2352120.5
574,24,22,2,10,0,0,2027705.0
576,25,19,1,12,0,0,2150342.0
628,15,13,1,10,0,0,2191116.6666666665
636,15,15,1,8,0,0,2452873.3333333335
637,15,15,1,9,0,0,2654098.3333333335
638,15,15,1,10,0,0,2610974.3333333335
639,15,15,1,11,0,0,1919705.3333333333
647,15,16,2,7,0,0,2175915.6666666665
648,15,16,2,8,0,0,2301058.6666666665
649,15,16,2,9,0,0,2375286.3333333335
650,15,17,1,8,0,0,2151019.3333333335
651,15,17,1,9,0,0,2629938.6666666665
652,15,17,1,10,0,0,2687284.0
659,15,18,2,8,0,0,1808746.0
660,15,19,1,9,0,0,2075713.6666666667
682,16,15,1,8,0,0,3171005.6666666665
683,16,15,1,9,0,0,4868883.666666667
684,16,15,1,10,0,0,4006364.3333333335
685,16,15,1,11,0,0,3388937.6666666665
686,16,15,1,12,0,0,1901880.0
695,16,16,2,8,0,0,4063176.3333333335
696,16,16,2,9,0,0,3908249.3333333335
697,16,16,2,10,0,0,3084255.0
698,16,17,1,7,0,0,2044114.0
699,16,17,1,8,0,0,3046090.6666666665
700,16,17,1,9,0,0,4344607.0
701,16,17,1,10,0,0,4330264.0
702,16,17,1,11,0,0,3323986.6666666665
712,16,18,2,7,0,0,2677364.6666666665
713,16,18,2,8,0,0,3350821.0
714,16,18,2,9,0,0,3467741.3333333335
715,16,18,2,10,0,0,2253969.6666666665
716,16,19,1,7,0,0,1700501.0
717,16,19,1,8,0,0,2758563.3333333335
718,16,19,1,9,0,0,3828870.3333333335
719,16,19,1,10,0,0,3605227.0
720,16,19,1,11,0,0,2176109.6666666665
728,16,20,2,7,0,0,1698451.0
729,16,20,2,8,0,0,2207881.3333333335
730,16,21,1,8,0,0,2089454.3333333333
731,16,21,1,9,0,0,2466631.0
732,16,21,1,10,0,0,2035794.0
746,17,15,1,10,0,0,5256119.666666667
747,17,15,1,11,0,0,3837475.3333333335
748,17,15,1,12,0,0,2376597.3333333335
759,17,16,2,10,0,0,4141360.0
760,17,16,2,11,0,0,2474974.0
761,17,17,1,7,0,0,2397922.6666666665
762,17,17,1,8,0,0,4442234.333333333
763,17,17,1,9,0,0,5399373.666666667
764,17,17,1,10,0,0,5734480.333333333
765,17,17,1,11,0,0,4523335.333333333
766,17,17,1,12,0,0,2920010.3333333335
778,17,18,2,7,0,0,3657695.3333333335
779,17,18,2,8,0,0,4335620.333333333
780,17,18,2,9,0,0,4846269.333333333
781,17,18,2,10,0,0,3680362.6666666665
782,17,18,2,11,0,0,2253216.0
783,17,19,1,7,0,0,2473335.6666666665
784,17,19,1,8,0,0,4456913.333333333
785,17,19,1,9,0,0,5496985.333333333
786,17,19,1,10,0,0,5295298.666666667
787,17,19,1,11,0,0,3661545.3333333335
797,17,20,2,6,0,0,1755357.0
798,17,20,2,7,0,0,2780976.3333333335
799,17,20,2,8,0,0,3425964.0
800,17,20,2,9,0,0,3592685.3333333335
801,17,20,2,10,0,0,2534861.6666666665
802,17,21,1,7,0,0,2240901.3333333335
803,17,21,1,8,0,0,3186482.0
804,17,21,1,9,0,0,3995092.3333333335
805,17,21,1,10,0,0,3658335.6666666665
806,17,21,1,11,0,0,2429708.6666666665
816,17,22,2,7,0,0,1826103.3333333333
817,17,22,2,8,0,0,2086213.0
818,17,23,1,7,0,0,1844403.6666666667
819,17,23,1,8,0,0,2074777.3333333333
820,17,23,1,9,0,0,2243665.6666666665
833,18,15,1,12,0,0,2948597.6666666665
843,18,17,1,8,0,0,4450470.333333333
844,18,17,1,9,0,0,6031798.333333333
845,18,17,1,10,0,0,6482649.333333333
846,18,17,1,11,0,0,5006196.666666667
847,18,17,1,12,0,0,3542254.6666666665
848,18,17,1,13,0,0,2318441.3333333335
859,18,18,2,8,0,0,4746924.0
