,C,H,N,O,S,P,Intensity
396,26,20,0,15,0,0,4671121.333333333
1004,19,22,0,15,0,0,3192750.6666666665
1044,19,26,0,14,0,0,2222119.0
1089,20,20,0,15,0,0,9594999.666666666
1113,20,22,0,14,0,0,13547509.666666666
1114,20,22,0,15,0,0,7169798.333333333
1115,20,22,0,16,0,0,3355603.6666666665
1137,20,24,0,13,0,0,16863364.333333332
1138,20,24,0,14,0,0,8440787.0
1139,20,24,0,15,0,0,3828454.3333333335
1158,20,26,0,13,0,0,7545889.666666667
1159,20,26,0,14,0,0,3064756.6666666665
1173,20,28,0,13,0,0,2509772.0
1200,21,20,0,14,0,0,12641114.0
1201,21,20,0,15,0,0,10307441.666666666
1202,21,20,0,16,0,0,6964907.666666667
1203,21,20,0,17,0,0,4117497.6666666665
1221,21,22,0,13,0,0,19929853.0
1222,21,22,0,14,0,0,15434903.0
1223,21,22,0,15,0,0,10347992.0
1224,21,22,0,16,0,0,6103570.333333333
1225,21,22,0,17,0,0,2938694.0
1247,21,24,0,13,0,0,20771192.666666668
1248,21,24,0,14,0,0,13751762.666666666
1249,21,24,0,15,0,0,7721352.666666667
1250,21,24,0,16,0,0,3451250.3333333335
1269,21,26,0,12,0,0,22641230.333333332
1270,21,26,0,13,0,0,14120954.666666666
1271,21,26,0,14,0,0,8057953.333333333
1272,21,26,0,15,0,0,3350147.0
1286,21,28,0,12,0,0,11210206.0
1287,21,28,0,13,0,0,6352174.0
1288,21,28,0,14,0,0,2532075.6666666665
1299,21,30,0,12,0,0,3950288.6666666665
1317,22,20,0,14,0,0,10674147.333333334
1318,22,20,0,15,0,0,9324489.0
1319,22,20,0,16,0,0,7869796.333333333
1320,22,20,0,17,0,0,5101194.0
1338,22,22,0,13,0,0,15561250.333333334
1339,22,22,0,14,0,0,13801051.666666666
1340,22,22,0,15,0,0,11124885.666666666
1341,22,22,0,16,0,0,7691782.333333333
1342,22,22,0,17,0,0,5308225.666666667
1343,22,22,0,18,0,0,2864540.6666666665
1354,22,23,1,13,0,0,2793764.0
1355,22,23,1,14,0,0,2491101.6666666665
1364,22,24,0,13,0,0,19556533.0
1365,22,24,0,14,0,0,15237665.0
1366,22,24,0,15,0,0,10262191.333333334
1367,22,24,0,16,0,0,6121127.666666667
1368,22,24,0,17,0,0,3304789.6666666665
1386,22,26,0,12,0,0,24961111.666666668
1387,22,26,0,13,0,0,18560157.0
1388,22,26,0,14,0,0,12929159.333333334
1389,22,26,0,15,0,0,7182187.0
1390,22,26,0,16,0,0,3844254.0
1404,22,28,0,12,0,0,18715006.333333332
1405,22,28,0,13,0,0,11774766.0
1406,22,28,0,14,0,0,7016845.333333333
1407,22,28,0,15,0,0,3585397.6666666665
1418,22,30,0,11,0,0,14568018.666666666
1419,22,30,0,12,0,0,8873301.666666666
1420,22,30,0,13,0,0,4755900.333333333
1421,22,30,0,14,0,0,4072754.0
1429,22,32,0,10,0,0,9559540.0
1431,22,32,0,12,0,0,3241949.6666666665
1441,23,20,0,14,0,0,9093311.0
1442,23,20,0,15,0,0,8400583.333333334
1443,23,20,0,16,0,0,7130757.333333333
1444,23,20,0,17,0,0,5751288.0
1458,23,22,0,13,0,0,11914942.333333334
1459,23,22,0,14,0,0,11178400.666666666
1460,23,22,0,15,0,0,9621358.0
1461,23,22,0,16,0,0,8137863.0
1462,23,22,0,17,0,0,6529770.0
1463,23,22,0,18,0,0,4282789.333333333
1471,23,23,1,13,0,0,2998580.0
1472,23,23,1,14,0,0,2493725.0
1479,23,24,0,12,0,0,16660033.333333334
1480,23,24,0,13,0,0,15869246.0
1481,23,24,0,14,0,0,13750903.333333334
1482,23,24,0,15,0,0,10761575.0
1483,23,24,0,16,0,0,7677923.0
1484,23,24,0,17,0,0,5058878.333333333
1485,23,24,0,18,0,0,3092571.3333333335
1495,23,25,1,13,0,0,2801509.0
1503,23,26,0,12,0,0,20966610.666666668
1504,23,26,0,13,0,0,18974305.333333332
1505,23,26,0,14,0,0,14624921.666666666
1506,23,26,0,15,0,0,9680393.0
1507,23,26,0,16,0,0,5998064.0
1508,23,26,0,17,0,0,3443276.3333333335
1522,23,28,0,11,0,0,24289086.333333332
1523,23,28,0,12,0,0,20685669.666666668
1524,23,28,0,13,0,0,16540198.333333334
1525,23,28,0,14,0,0,10946909.0
1526,23,28,0,15,0,0,6616063.666666667
1527,23,28,0,16,0,0,3188057.3333333335
1540,23,30,0,12,0,0,14588408.0
1541,23,30,0,13,0,0,9732236.0
1542,23,30,0,14,0,0,6032579.666666667
1543,23,30,0,15,0,0,3492683.6666666665
1554,23,32,0,11,0,0,11153112.666666666
1555,23,32,0,12,0,0,7259614.333333333
1556,23,32,0,13,0,0,3983079.0
1562,23,34,0,11,0,0,5373616.666666667
1563,23,34,0,12,0,0,2727703.0
1569,24,20,0,14,0,0,6945478.0
1570,24,20,0,15,0,0,6503057.333333333
1571,24,20,0,16,0,0,6486076.666666667
1572,24,20,0,17,0,0,5387028.333333333
1583,24,22,0,13,0,0,9689045.666666666
1584,24,22,0,14,0,0,9461962.666666666
1585,24,22,0,15,0,0,7474656.666666667
1586,24,22,0,16,0,0,7494593.666666667
1587,24,22,0,17,0,0,6515118.666666667
1588,24,22,0,18,0,0,4947830.333333333
1589,24,22,0,19,0,0,3157648.3333333335
1594,24,23,1,13,0,0,2922613.6666666665
1601,24,24,0,12,0,0,12720190.0
1602,24,24,0,13,0,0,12260888.333333334
1603,24,24,0,14,0,0,11126474.666666666
1604,24,24,0,15,0,0,10322909.666666666
1605,24,24,0,16,0,0,8500391.333333334
1606,24,24,0,17,0,0,6405544.333333333
1607,24,24,0,18,0,0,4557717.333333333
1608,24,24,0,19,0,0,2597161.3333333335
1613,24,25,1,13,0,0,2904354.6666666665
1614,24,25,1,14,0,0,2498273.0
1621,24,26,0,12,0,0,16894318.333333332
1622,24,26,0,13,0,0,16114084.666666666
1623,24,26,0,14,0,0,13528262.333333334
1624,24,26,0,15,0,0,10802314.0
1625,24,26,0,16,0,0,7730585.333333333
1626,24,26,0,17,0,0,5527297.333333333
1627,24,26,0,18,0,0,3077042.6666666665
1629,24,26,2,12,0,0,2288846.6666666665
1635,24,27,1,13,0,0,2519157.3333333335
1643,24,28,0,12,0,0,20336622.333333332
1644,24,28,0,13,0,0,17704912.333333332
1645,24,28,0,14,0,0,15960084.666666666
1646,24,28,0,15,0,0,15041169.0
1647,24,28,0,16,0,0,7355374.0
1648,24,28,0,17,0,0,5195532.333333333
1653,24,29,1,12,0,0,2625214.3333333335
1660,24,30,0,11,0,0,20092803.0
1661,24,30,0,12,0,0,18796816.666666668
1662,24,30,0,13,0,0,14585330.0
1663,24,30,0,14,0,0,9728182.666666666
1664,24,30,0,15,0,0,6086131.333333333
1665,24,30,0,16,0,0,3519057.3333333335
1673,24,32,0,11,0,0,15075520.666666666
1674,24,32,0,12,0,0,12153387.333333334
1675,24,32,0,13,0,0,8432651.333333334
1676,24,32,0,14,0,0,4642477.0
1677,24,32,0,15,0,0,4046514.0
1685,24,34,0,11,0,0,8938664.333333334
1686,24,34,0,12,0,0,5764241.0
1687,24,34,0,13,0,0,3736092.3333333335
1689,25,20,0,14,0,0,5828944.333333333
1690,25,20,0,15,0,0,5835091.666666667
1691,25,20,0,16,0,0,5462198.333333333
1692,25,20,0,17,0,0,4778447.666666667
1696,25,21,1,15,0,0,2268030.6666666665
1700,25,22,0,13,0,0,7815699.666666667
1701,25,22,0,14,0,0,7637490.0
1702,25,22,0,15,0,0,7500997.333333333
1703,25,22,0,16,0,0,6881761.666666667
1704,25,22,0,17,0,0,6089194.666666667
1705,25,22,0,18,0,0,4783429.666666667
1706,25,22,0,19,0,0,3436873.6666666665
1709,25,23,1,13,0,0,2979746.6666666665
1710,25,23,1,14,0,0,2538595.0
1711,25,23,1,15,0,0,2412877.6666666665
1718,25,24,0,13,0,0,10181321.0
1719,25,24,0,14,0,0,9788735.0
1720,25,24,0,15,0,0,8912277.666666666
1721,25,24,0,16,0,0,7736773.0
1722,25,24,0,17,0,0,6493704.666666667
