,C,H,N,O,S,P,Intensity
2006,27,32,0,18,0,0,2517960.3333333335
2100,28,30,0,19,0,0,2903579.3333333335
2113,28,32,0,18,0,0,3418801.3333333335
2125,28,34,0,18,0,0,2370186.3333333335
2137,28,36,0,17,0,0,3521140.0
2198,29,30,0,19,0,0,3228157.0
2210,29,32,0,18,0,0,4090833.3333333335
2211,29,32,0,19,0,0,2558669.3333333335
2221,29,34,0,17,0,0,5280117.333333333
2222,29,34,0,18,0,0,3280068.0
2233,29,36,0,17,0,0,3817477.6666666665
2244,29,38,0,16,0,0,3744648.0
2294,30,30,0,19,0,0,3078186.0
2303,30,32,0,18,0,0,4513746.666666667
2304,30,32,0,19,0,0,3063027.3333333335
2313,30,34,0,17,0,0,5876437.333333333
2314,30,34,0,18,0,0,3954512.0
2324,30,36,0,17,0,0,4823674.333333333
2325,30,36,0,18,0,0,3445792.6666666665
2335,30,38,0,17,0,0,3481794.0
2345,30,40,0,16,0,0,2977456.0
2387,31,30,0,19,0,0,2852357.0
2388,31,30,0,20,0,0,2146794.6666666665
2397,31,32,0,18,0,0,4128263.0
2398,31,32,0,19,0,0,3094536.3333333335
2407,31,34,0,18,0,0,4058493.0
2408,31,34,0,19,0,0,2823001.3333333335
2417,31,36,0,17,0,0,5328165.666666667
2418,31,36,0,18,0,0,3781872.3333333335
2428,31,38,0,17,0,0,4333048.333333333
2436,31,40,0,16,0,0,4497699.333333333
2445,31,42,0,16,0,0,2856810.6666666665
2485,32,34,0,18,0,0,3665068.6666666665
2493,32,36,0,17,0,0,5330095.0
2494,32,36,0,18,0,0,4113754.3333333335
2502,32,38,0,17,0,0,4740815.666666667
2510,32,40,0,16,0,0,5263992.666666667
2511,32,40,0,17,0,0,3839896.6666666665
2519,32,42,0,16,0,0,4165792.6666666665
2558,33,36,0,17,0,0,4974923.333333333
2566,33,38,0,17,0,0,4796585.666666667
2567,33,38,0,18,0,0,3562124.3333333335
2575,33,40,0,17,0,0,4594690.0
2582,33,42,0,16,0,0,5366818.333333333
2589,33,44,0,16,0,0,3009942.0
2595,33,46,0,15,0,0,2736627.6666666665
2616,34,36,0,18,0,0,3469990.3333333335
2685,35,44,0,17,0,0,3349190.6666666665
2715,36,44,0,17,0,0,3710366.3333333335
2716,36,44,0,18,0,0,2298718.0
2722,36,48,0,16,0,0,2826603.3333333335
2740,37,46,0,17,0,0,2933782.3333333335
2848,29,36,0,18,0,0,2101612.5
2850,30,30,0,20,0,0,2176390.5
2852,30,32,0,20,0,0,1915494.0
2855,30,34,0,19,0,0,2844481.5
2857,31,32,0,20,0,0,1984081.5
2858,31,38,0,18,0,0,3007295.0
2859,31,40,0,17,0,0,2831509.5
2864,32,32,0,20,0,0,2060467.5
2865,32,34,0,19,0,0,2415048.5
2866,32,38,0,19,0,0,2530181.5
2867,32,40,0,18,0,0,2708098.5
2870,33,34,0,18,0,0,3664744.0
2871,33,36,0,18,0,0,3562140.0
2872,33,36,0,19,0,0,2644063.0
2876,34,40,0,17,0,0,4351128.5
2878,34,42,0,17,0,0,4138432.5
2879,34,46,0,16,0,0,3076128.0
2884,35,44,0,16,0,0,4306349.5
2889,36,40,0,19,0,0,2442141.5
2891,36,42,0,18,0,0,3050394.0
2897,36,46,0,17,0,0,3073612.0
2909,37,50,0,16,0,0,2401091.0
2961,30,38,0,18,0,0,2297924.0
2966,31,44,0,15,0,0,2399919.3333333335
2970,32,38,0,18,0,0,3429547.3333333335
2976,34,38,0,19,0,0,2132110.6666666665
2977,34,40,0,19,0,0,2236596.6666666665
2978,34,44,0,16,0,0,3747156.3333333335
2984,35,48,0,15,0,0,3187708.0
3036,29,34,0,19,0,0,2408514.0
3042,32,42,0,17,0,0,2659645.0
3045,33,32,0,19,0,0,2394320.0
3046,33,38,0,19,0,0,2422649.5
3048,33,42,0,17,0,0,3414051.0
3051,34,36,0,19,0,0,2195490.0
3052,34,38,0,18,0,0,3631048.0
3054,35,36,0,19,0,0,2155198.5
3055,35,40,0,18,0,0,3257370.0
3056,35,46,0,16,0,0,3557820.5
3099,32,32,0,19,0,0,2448419.0
3107,37,44,0,19,0,0,1748034.3333333333
3139,28,32,0,19,0,0,2287213.5
3150,34,38,0,20,0,0,1922917.0
3153,35,40,0,19,0,0,2311207.0
3169,38,44,0,19,0,0,1814708.0
3178,39,48,0,18,0,0,2130413.0
3295,28,30,0,20,0,0,1962052.5
3834,26,42,0,22,0,0,3813545.3333333335
3836,26,43,3,17,0,0,2630556.6666666665
3840,27,44,0,23,0,0,4977697.0
3845,28,44,0,21,0,0,6503706.333333333
3848,29,48,0,20,0,0,5812844.0
3861,28,46,0,20,0,0,3278569.0
3862,30,50,0,25,0,0,3207803.5
3871,26,42,0,23,0,0,2814148.0
3872,28,46,0,24,0,0,3465196.0
3873,28,46,4,17,0,0,2363729.5
3874,30,48,0,26,0,0,2518430.0
3879,30,48,0,25,0,0,3625848.5
4161,32,49,3,16,0,0,1894474.0
